具体的な達成目標,5領域
基本的な生活スキルを身につけましょう。,健康や生活
ドッチボールなど、その日の運動メニューに参加しましょう。,運動や感覚
排泄時に座ってできるようになりましょう。,健康や生活
からだを使っての遊びをしましょう。,運動や感覚
自分のものを自分できちんと管理しましょう。,認知や行動
自分の気持ちを言葉にしたり、読んだり書くなど、ことばに興味を持ちましょう。,言語やコミュニケーション
遊びや集団活動を通じて、家族以外の人との社会関係を作りましょう。,人間関係や社会性
ウイズ・ユー関で、今日は何をするのかをあらかじめ確認して行動します。,認知や行動
職員やお友だちの声掛けに応じて、いっしょに活動に取り組みましょう。,言語やコミュニケーション
ルールのある遊びを楽しみ、ルールに従いましょう。,人間関係や社会性
お互いの気持ちを汲みながら、自分自身の精神安定を図りましょう。,健康や生活
折り紙などの得意なことや好きなことを通して、指先訓練をしましょう。,運動や感覚
好きな時計をきっかけとして、時間空間の概念を身につけましょう。,認知や行動
漢字の書き方を間違えないように練習するとともに音読の練習をしましょう。,言語やコミュニケーション
好きなことだけでなく、しなければならないことを考えてしましょう。,健康や生活
傾聴を覚えて、仲間づくりをしましょう。,人間関係や社会性
